text,category
"Ego clashes and power struggles: Inside the politics of co-head roles at investment banks - Financial News London <a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxPby1JTGlDYzhWQThnUlA2S0lPRGwydTJJSmE5Mk5yTk1aNjg2dHBkNzhDTlFsZzRtVzhEamxmYVBVZUJJU1Y2ZWpVaW1YaWh2bFJOV3MtRHBTTGJTYkJYdnVaUVl2aWRTZTczRElRd01WQXV3N1B1LWRMTnBfR0lsQl9COUtUZmE1RU1oVWtJeDNBZEx4YW5IOWtxZXctVFZJNlg0TTRhZFdYaWxsZ1JOOHFxb0lGQ3hocFR5RUU5WmpJaWJPYkJQVDc2VdIB0AFBVV95cUxQRVBRLUxGTU9HRmNKVUVpcnExMFFVc3NBTTVXZFVGQTBYNEJ1aUJvZFVKQzhWVXpBUTBINkVDM0ZDY1UxZHVMRlU4cDJfaGlWXzdUb01OMXc3ZjQ2T0pOeW5uczVIX3FEdU5lYmVyQXBxb2E3MFoxcW5iaHo0U2JiUEFDd1ZHcnljQXgxLW9ocm9pclFfa1pjYnFDaHpmN1hwdk5HTnloYVVRUHlJOUgtaHp5OExNRVFaaUE5eFptLUR5OVMxTnhpUG9HWlpNWldj?oc=5"" target=""_blank"">Ego clashes and power struggles: Inside the politics of co-head roles at investment banks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Financial News London</font>",Politics
"My Identity Does Not Equate With Me Joining Politics: Preity Zinta Reveals If She Will Join BJP In Near - Free Press Journal <a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxPLVAxSnY3UTA2X2VtVE1IWUs0MVFoOHBQOF9zQXp3WHo0QWFCV0I1cUFQQlNpTHN0U1FaTi1JYWp1ZTlzODk4amJTV3d1elFVeWJhaGY4ZHh6ZHZhZGhBcVByZGNSRUNQN2pGQmxsNmt4ejhMdERqSDRhSDJRYlhuYW1VTHBkeVhvZDNPWHZkeXRTRmlTUlFtaklkSHpkSlp6UEhxTTZFNmo0Qk9xUDk4TU5fNGZlM1dMbWdtdThJanpQbFd0MHdJc2JRTmNya1BUcmdHQ05PT2hEUHNHVmpyY0hnZjdyZFhRU0pJ0gHwAUFVX3lxTE9jVEpTWXViNWFSTjNUWURSRDB3NzhCLTl6SUo2RXI1YzN3Q2gzMnNjaXdIb3ZhMy1wc196RkVqRVFBOTJFdnpoUDlMdUFhckVZSkVtMzVGRlE5NzlndzY2aVFCaVhWMkl0clE4Mmo0a0tyR1VHRFZUdTVhSzRUSlpXWkhLV01aZTRSNFdRUktmSnlRY2RiRkxBX3E0OGhvV1hHS2RjQUxaeU9PanF0S1RqTXdzNFJvZlJWTjVSQjQtXzlpSFhDN3dtN2lFQzNndUlfdm1GSEhXbm5FVHA1X3EwZDYzV1dHX05POExScWttQQ?oc=5"" target=""_blank"">My Identity Does Not Equate With Me Joining Politics: Preity Zinta Reveals If She Will Join BJP In Near</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",Politics
"Read the Full Transcript of Trump’s ‘100 Days’ Interview - Time Magazine <a href=""https://news.google.com/rss/articles/CBMickFVX3lxTFBpdE5pU0VVZXJXYk5xZUttbmZNMHczazVCYWdRWjZ0VlZNWjVmMjF3Q2NLMkVwOEduNTRMSjlCd01LYW4wM0x6ZlQzUG1XN3FucW5OLWJacDk2c282M0MtdnZnZGcxQVYwU3BDeXFXdFFjZw?oc=5"" target=""_blank"">Read the Full Transcript of Trump’s ‘100 Days’ Interview</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Time Magazine</font>",Politics
"The ‘political trilemma’ and the crisis in the West - The Hindu <a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxQLTVlM0ZjaGRKSTkwOElIU1NUbGg0X016d0M5X0JVTlJReEd3T1NTQnJibkNKYzRzRXNLaWdvN1lmWTlDSEFyc3lJVURFWTlxUmlQOHNWdS1qVXVzRVVKdkFVcDNES0tibHRPT1JLNnh2QkVpTF8zVUNZM3JlX1BVUXgxVGxTbzQ4UTBHTm9IYmk0bVFWOTFWYWRveENyUEdEdzQwRTNXSFRudjDSAbIBQVVfeXFMTlhUdUppV3kyQ3dVSGxJUm9GVzVvTjF3Vld3SHRheTlqX1VtdnZFWllmQnVLZTM1emNTVVp1M294c2ZTVmExaVdtbWhxRFZwTDJBZ1VXS00wNHNjM05oWURxUkpwRWlieUxEVDVFWE1WRGc4WVl1VG1rVG9zTkpFT1FoM3BmRjNsQlQwTTF4RHBQNjhfUXVrbml4NnNPZmg0bjUzcGFKREZKM3RDS1NENzJYQQ?oc=5"" target=""_blank"">The ‘political trilemma’ and the crisis in the West</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Politics
"American Battleground: Resistance and revenge in 100 days of Trump - CNN <a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxPWE5LZFZERnluMW5GT1ZOejZBOWZSTVp6U0xVd3pwcG0xc3pGLWI2cDRQbUlfQXM3cTB4NTJlWGJYYjVLS1lUb211SnloOEtpLUluTW5ibUlYOUdPZVpSRV9aWWhVb0lYeEFXallUUHlzcW95SHNmOW9ENExlN0lPbGdGZGc5OFdGQlNZ0gGCAUFVX3lxTE9RZDl3OXBUUEtwMmM3YURPUjVzMmpZUmc2YWhZSXBxWU5jdTZ3ZEs0WVo5UHdmTEFZRUNxNTZWd1dNaGVEam9CWWtKNFVEeUVPdEdNYl9BRGF1R2VmREsyZ20zdHpJcDZKS0tqdjNXbzMxX3BTQVpZTllNeklMdWQteXc?oc=5"" target=""_blank"">American Battleground: Resistance and revenge in 100 days of Trump</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",Politics
"Politics latest: PM warns of 'disaster' if Reform and Tories form coalition - Sky News <a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQR1p3UmFRb0pxZmJ0bUl4cGdNUHVkYnlSbmVmNmpYXzFWQjJ4WXVobFhjQ19LcHh5OFhOX2pnbWlMdTFZaHh5TGpleWNNRWxsaEdYOHBSd0R2V1JydUR4THB4Qm4wTW1uc1VjVDEzTEU1YUFiTUx4WXZ1M2V3Vy1BZlhTUTFkdGRaU3VQc09jd1NsY2tEbWJiRWpqM2xuYklfckVKeVFQQ3VVcGlBVVlwbEJmeWY4OTJ6ZkhyVGk3RUdiUmJuRW9VSEFZNA?oc=5"" target=""_blank"">Politics latest: PM warns of 'disaster' if Reform and Tories form coalition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sky News</font>",Politics
"DOGE DAY OVER: Why Elon Musk is quietly retreating from politics - Times of India <a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNNkpvRWhqSm9lUUthaFdqQkRVWFZpYTNSTEJYOW5rMXNvS0tGTmNTUi1wNFlrRG8taF9WRzljTmRMVVljdEdvVDBzZWw2QnVvV3MzU2VPbWNhc0FZUzFRcmpKaEhQV1N5Rzhhcm00LV9JRHVJRk5uRmJFOVZ6X2daYl9XSmh0YTMzTHdBUDdfNXNxeWhtdmYtZzdUUEpWTE92UEhDVWdXQUNxRXpYVzlJMkF5aFJ0ZlJvamZEa3p4UHVIWmVPQjBwU204TDBNYUHSAdQBQVVfeXFMTnU3eXJOUjlGZlgyaE91a0poaFYyMlBFSG1JUmZHV29xVWVCWWt0SnBMT0x5NF9SR3VJaC1kT0djQWRjVENBb0U1eC1MTFBTYW9PX0Y4VmJyNzVXbEp0TGtIcDdKY1NRQXFxMjczNUFOQWVpbUVtNGxlaTRoOURQclNYMGFpUUdYZ3dEX1FDV3JVMDE4YUV5WmxaOFM5emZ3RFZaWGxMOU9EMG4tbWxHellTYmd3TDJqanI0OExlc2MycElsWVZORktiTDBMTVJkVTdOZmw?oc=5"" target=""_blank"">DOGE DAY OVER: Why Elon Musk is quietly retreating from politics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Politics
"Language, politics, power: What is AI’s mother tongue? - The Indian Express <a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxOVVZsYXZfNGhpeEVxRzRFMkVWUmFocDgtdjBMa3BBTGdWdDFfT084YTB2NDVXYVVOU0FhdlRnRVQzZU1WQWI2THZIQ2JUeWtHNG02Z3V2dGp6eEJkNzJIcGFRSElpc1BtajhGOWNVR0ZjNGxheE1maWVONDQ2OThmYWFaczJyT0xuZENhR183NGwzNWQ4REg5dEcwR1hIcjdkci1UcEt0eTl6dkpO0gGzAUFVX3lxTFBrZXhqSVQ3MVc3Ym56cURVZldJejg3djZDMHluNnZabDloOFhYc0U0MlRMVDJndmhjTTlJM003U2RDb2dqdXUza3dURWN1QUR3WWs4SGxESzFCOXNzUkYwQUFyaVdpaVhld29zZTBtTXNBdWNHMEZqYTgyRkppdWc4eHdVQUk0Z1dncGd0UzB2RER2RnNhdkhWdC1IWm5XLWl1dllHUjhaOWVOUDFGelYwX3pN?oc=5"" target=""_blank"">Language, politics, power: What is AI’s mother tongue?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Politics
"Pope Francis’ funeral ceremony held a moral mirror to modern politics - NBC News <a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxONXpRclFhd1pUY0I0bVpFX08taHhOYnREc2VpSm5BeFo2V1dMM054QmxTYUJmVWdBTGxXcHl5WHFRWDRhYXhsSmNUQWhEdTctbWx4bzdqaTQteE52a0RyT1owcmZpZ3NfaG9vYk5CSWJaSV8ySUVKd0Y2SERvMy1DbXlTYjlWb2ZFdE1yUnZHTWRWV0JIVVlnS3dfOThTSG5zNjQxOTZXMVVjUmZybjdVQnlOLVJ5d2p6ZEFYQWE3Z1bSAVZBVV95cUxOSFBmRUxxN3VqaWl1Q2pKdTRiUzhFTS1hbnZfczdEZmZRUW5nUzFYamgxTTROdmxNUVZOS0ZHODRKTVp1TVRLa2dSUGNYQUNWa3k2Sk5kdw?oc=5"" target=""_blank"">Pope Francis’ funeral ceremony held a moral mirror to modern politics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC News</font>",Politics
"Explainer: Does Russia’s ‘Systemic Opposition’ Still Exist? - The Moscow Times <a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxPcWlsMExXWmR1c3Q5TnpxOExidVNWajdnMHc5NG5JZlZSakx2SUVOT0pacVpjSUs2YkM0S0VkblJQYzFfbDM4NjFEbnkzTmkwa1hEaVROX3FRSXoySXVfYmR2S1ZFZ054VXFZRmZTWGxJbUF4Q2IxT2xiTlNWY21PcXc1WVVNbjBPaFBIbHBKTjI4WG11Sk56Y05VNXNpaml5amx4R2lB?oc=5"" target=""_blank"">Explainer: Does Russia’s ‘Systemic Opposition’ Still Exist?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Moscow Times</font>",Politics
"Politics - The Economist <a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE04dk83TUs2ckk2eWV6WEdKTzBJME1IaEthS21fbnJfbnRhdWdyUUhiajBUU19MX3YxeERpVUxndkVLNGVpZUoyU1dhY1JyamppQV9aa0w4Ym5yNkFlYXRqQng3NkozNlY2VXBKZnkzT1Z0NUk?oc=5"" target=""_blank"">Politics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economist</font>",Politics
"Show national solidarity, hold government accountable: it’s a tough ask for Congress - The Hindu <a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPUDZuY2s5MXgweW5ZWFdxemdFYWJJdEJhMVp2cnRWSWxCS25kTnNWU0lwbE1PbmRXOWdYNjJXQzVZbjc5dklDanl1V3pna0RmSm9TS1JJNjIxdkhtZ2FVVFdjWE1RM05vU21waXh5b29tYll3Y3Z3U2IyRTVNOVF6UUo0Nk5wNkZkWmM2cVRVZXZLRW50UXZReFJ2Z2MxZ2Z0Q2ZtemNTS2dWYWdpTDJUcm9FeXNsVkU3TllFbEZEdnBuMWpsclJDaUw0aHLSAdMBQVVfeXFMTVhDdGFnX3FUMUQyM1VFRlFoWDlud1NjdXNqcmlHOGFkenlZVkNVLTFxM0Rxak1xYzdGUFJhbmdVT1pQdmJsWU9RUW85ZWNzQzFGSFF5MVJPMHpqZmd2bWZFT0Q3SUVtd2d1WVdsNFdQX01DRXd2SlVlZnE4TFh6VEZFNU0yY1FPaGJpdWwzZnN6ODZLWGNCWEFmOFpWUjNQTjNuamVXejZLalM2Sk1EbUg2YWx2bDF5TF9SZ2o3c2w4SHhyV0VDUVR1NnVPZ0pjRGVhbw?oc=5"" target=""_blank"">Show national solidarity, hold government accountable: it’s a tough ask for Congress</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Politics
"Trump at Pope Funeral: Politics and Diplomacy Mix at St. Peter’s Square - Deccan Herald <a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxNZUlaSHc1ODh5aUpSREl6WkFYbVEyVmNWMjV6R2xlbW1vc3ZBSTBYUWozYmkxcFlaVVNwT3dyd1BVMzh0TmdUVmxacUhSTFdmRHdrbkFRelFBdy1TN3k2M3ZjZE9rNWUxSEVsd19RODhpanJ5NXAzbERRWVh4ZXZ2cUd6b09zTzhieHVocVBHNmF0S08xWWZ1eUt5ZXluWUtDTHc?oc=5"" target=""_blank"">Trump at Pope Funeral: Politics and Diplomacy Mix at St. Peter’s Square</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font>",Politics
